City,Crash Count,Crash Type,Latitude,Location,Longitude,Year
BURNABY,0 ,1 ,49.212173,10TH AVE & 13TH ST & TENTH AVE,-122.940214,2015
BURNABY,0 ,1 ,49.210918,10TH AVE & 15TH ST & FIFTEENTH ST & TENTH AVE,-122.942558,2015
BURNABY,0 ,1 ,49.208983,10TH AVE & 17TH ST & SEVENTEENTH ST & TENTH AVE,-122.946129,2015
BURNABY,7,1 ,49.222306,10TH AVE & 2ND ST & SECOND ST & TENTH AVE,-122.921408,2015
BURNABY,15,1 ,49.218965,10TH AVE & 6TH ST & SIXTH ST & TENTH AVE,-122.92762,2015
BURNABY,0 ,1 ,49.235286,10TH AVE & AMESS ST & E TENTH AVE & HOLMES ST,-122.89736,2015
BURNABY,34,1 ,49.216882,10TH AVE & CANADA WAY & EIGHTH ST & TENTH AVE,-122.931469,2015
BURNABY,6,1 ,49.233116,10TH AVE & CARIBOO RD & E TENTH AVE & SURREY ST,-122.901343,2015
BURNABY,0 ,1 ,49.232084,10TH AVE & CHESTNUT ST & E TENTH AVE,-122.903255,2015
BURNABY,2,1 ,49.228961,10TH AVE & COQUITLAM ST & E TENTH AVE,-122.909052,2015
BURNABY,9,1 ,49.227292,10TH AVE & CUMBERLAND ST & E TENTH AVE,-122.912147,2015
BURNABY,21,1 ,49.224688,10TH AVE & E TENTH AVE & MCBRIDE BLVD & TENTH AVE & TURNING LANE,-122.916996,2015
BURNABY,2,1 ,49.21962,10TH AVE & FIFTH ST & TENTH AVE,-122.926405,2015
BURNABY,3,1 ,49.220334,10TH AVE & FOURTH ST & TENTH AVE,-122.925085,2015
BURNABY,13,1 ,49.205812,10TH AVE & GRIFFITHS DR & SOUTHRIDGE DR & TENTH AVE & TWENTIETH ST,-122.952118,2015
BURNABY,0 ,1 ,49.214435,10TH AVE & HENLEY ST & TENTH AVE,-122.936024,2015
BURNABY,29,1 ,49.213429,10TH AVE & KINGSWAY & TENTH AVE & TWELFTH ST,-122.937862,2015
BURNABY,0 ,1 ,49.215438,10TH AVE & TENTH AVE & TENTH ST,-122.93419,2015
BURNABY,2,1 ,49.204794,10TH AVE & TENTH AVE & TWENTY-FIRST ST,-122.953829,2015
BURNABY,0 ,1 ,49.219731,11TH AVE & 6TH ST,-122.928574,2015
BURNABY,0 ,1 ,49.217639,11TH AVE & CANADA WAY,-122.932473,2015
BURNABY,0 ,1 ,49.227958,11TH AVE & CUMBERLAND ST,-122.912984,2015
BURNABY,3,1 ,49.214132,11TH AVE & KINGSWAY,-122.938863,2015
BURNABY,0 ,1 ,49.224894,12TH AVE & 1ST ST,-122.921375,2015
BURNABY,3,1 ,49.220505,12TH AVE & 6TH ST,-122.929546,2015
BURNABY,5,1 ,49.218354,12TH AVE & CANADA WAY,-122.933417,2015
BURNABY,8,1 ,49.21483,12TH AVE & KINGSWAY,-122.939881,2015
BURNABY,0 ,1 ,49.200582,12TH AVE & WILLARD ST,-122.965994,2015
BURNABY,2,1 ,49.221256,13TH AVE & 6TH ST,-122.930491,2015
BURNABY,3,1 ,49.229724,13TH AVE & ARMSTRONG AVE & CUMBERLAND ST,-122.915145,2015
BURNABY,2,1 ,49.219136,13TH AVE & CANADA WAY,-122.934451,2015
BURNABY,4,1 ,49.215632,13TH AVE & KINGSWAY,-122.941179,2015
BURNABY,2,1 ,49.226438,14TH AVE & 1ST ST,-122.923335,2015
BURNABY,3,1 ,49.221894,14TH AVE & 6TH ST,-122.931293,2015
BURNABY,0 ,1 ,49.220829,14TH AVE & 7TH ST,-122.933303,2015
BURNABY,5,1 ,49.209801,14TH AVE & GRIFFITHS DR,-122.953734,2015
BURNABY,12,1 ,49.216534,14TH AVE & KINGSWAY,-122.94284,2015
BURNABY,5,1 ,49.222528,15TH AVE & 6TH ST,-122.932091,2015
BURNABY,0 ,1 ,49.220375,15TH AVE & CANADA WAY,-122.936129,2015
BURNABY,0 ,1 ,49.227942,16TH AVE & 1ST ST,-122.925251,2015
BURNABY,2,1 ,49.226871,16TH AVE & 2ND ST,-122.927209,2015
BURNABY,8,1 ,49.223841,16TH AVE & 6TH ST,-122.933743,2015
BURNABY,0 ,1 ,49.221656,16TH AVE & CANADA WAY,-122.937843,2015
BURNABY,7,1 ,49.238856,16TH AVE & CARIBOO RD,-122.90715,2015
BURNABY,5,1 ,49.231915,16TH AVE & CUMBERLAND ST,-122.917869,2015
BURNABY,2,1 ,49.23248,16TH AVE & ENDERSBY ST,-122.916815,2015
BURNABY,8,1 ,49.217432,16TH AVE & KINGSWAY,-122.945859,2015
BURNABY,3,1 ,49.238381,16TH AVE & MULBERRY PL,-122.909745,2015
BURNABY,2,1 ,49.229325,16TH AVE & NEWCOMBE ST,-122.922722,2015
BURNABY,0 ,1 ,49.215391,16TH ST & 17TH AVE,-122.951562,2015
BURNABY,2,1 ,49.217019,16TH ST & EDMONDS ST,-122.953669,2015
BURNABY,3,1 ,49.224461,17TH AVE & 6TH ST,-122.934521,2015
BURNABY,0 ,1 ,49.222237,17TH AVE & CANADA WAY,-122.938603,2015
BURNABY,0 ,1 ,49.230076,17TH AVE & NEWCOMBE ST,-122.923671,2015
BURNABY,3,1 ,49.225112,18TH AVE & 6TH ST,-122.935346,2015
BURNABY,5,1 ,49.222847,18TH AVE & CANADA WAY,-122.939384,2015
BURNABY,0 ,1 ,49.212564,18TH AVE & EDMONDS STATION LOOP,-122.958661,2015
BURNABY,2,1 ,49.213091,18TH AVE & GRIFFITHS DR,-122.957775,2015
BURNABY,4,1 ,49.215216,18TH ST & EDMONDS ST & SALISBURY AVE,-122.957032,2015
BURNABY,4,1 ,49.218088,19TH AVE & KINGSWAY,-122.948464,2015
BURNABY,16,1 ,49.269482,1ST AVE & BOUNDARY RD & E 1ST AVE,-123.023603,2015
BURNABY,0 ,1 ,49.269368,1ST AVE & ESMOND AVE,-123.021063,2015
BURNABY,3,1 ,49.269363,1ST AVE & GILMORE AVE,-123.014259,2015
BURNABY,2,1 ,49.269361,1ST AVE & INGLETON AVE,-123.018711,2015
BURNABY,4,1 ,49.26846,2ND AVE & BOUNDARY RD & E 2ND AVE,-123.023565,2015
BURNABY,3,1 ,49.268469,2ND AVE & GILMORE AVE,-123.014282,2015
BURNABY,8,1 ,49.226175,6TH ST & EDMONDS ST & TURNING LANE,-122.937081,2015
BURNABY,0 ,1 ,49.228691,6TH ST & ELWELL ST,-122.940317,2015
BURNABY,0 ,1 ,49.223174,6TH ST & GRAHAM AVE,-122.932914,2015
BURNABY,0 ,1 ,49.236709,6TH ST & NURSERY ST,-122.949998,2015
BURNABY,0 ,1 ,49.22211,7TH ST & GRAHAM AVE,-122.934944,2015
BURNABY,3,1 ,49.226868,ACACIA AVE & IMPERIAL ST,-122.95165,2015
BURNABY,0 ,1 ,49.218409,ACORN AVE & KINGSWAY,-122.955718,2015
BURNABY,0 ,1 ,49.277492,ADANAC ST & BOUNDARY RD & UNION ST,-123.023519,2015
BURNABY,0 ,1 ,49.282048,ALBERT ST & BOUNDARY RD & FRANKLIN ST,-123.023492,2015
BURNABY,2,1 ,49.281958,ALBERT ST & CARLETON AVE,-123.011423,2015
BURNABY,3,1 ,49.281981,ALBERT ST & GILMORE AVE,-123.014171,2015
BURNABY,0 ,1 ,49.281992,ALBERT ST & MACDONALD AVE,-123.016224,2015
BURNABY,4,1 ,49.281888,ALBERT ST & WILLINGDON AVE,-123.003135,2015
BURNABY,2,1 ,49.242949,ALDERWOOD CRES & HUXLEY AVE & MOSCROP ST,-123.007121,2015
BURNABY,0 ,1 ,49.264466,ALPHA AVE & DAWSON ST,-123.000388,2015
BURNABY,2,1 ,49.278277,ALPHA AVE & GEORGIA ST,-123.000299,2015
BURNABY,8,1 ,49.281005,ALPHA AVE & HASTINGS ST,-123.000246,2015
BURNABY,0 ,1 ,49.266323,ALPHA AVE & LOUGHEED HWY,-123.000344,2015
BURNABY,2,1 ,49.275569,ALPHA AVE & PARKER ST,-123.000319,2015
BURNABY,0 ,1 ,49.280098,ALPHA AVE & PENDER ST,-123.000275,2015
BURNABY,0 ,1 ,49.221918,ANTRIM AVE & IMPERIAL ST,-122.98495,2015
BURNABY,2,1 ,49.219337,ARCOLA ST & ARCOLA WAY & SALISBURY AVE,-122.957538,2015
BURNABY,6,1 ,49.219325,ARCOLA ST & GRIFFITHS AVE,-122.960995,2015
BURNABY,9,1 ,49.21907,ARCOLA ST & KINGSWAY & SOUTHOAKS CRES,-122.968039,2015
BURNABY,0 ,1 ,49.219331,ARCOLA ST & SPERLING AVE,-122.964765,2015
BURNABY,2,1 ,49.2193,ARCOLA ST & WALKER AVE,-122.952724,2015
BURNABY,0 ,1 ,49.260925,ARDEN AVE & BROADWAY & LAKE CITY WAY,-122.936998,2015
BURNABY,4,1 ,49.235416,ARMSTRONG AVE & CARIBOO RD & HOLMES ST,-122.904155,2015
BURNABY,0 ,1 ,49.231399,ARMSTRONG AVE & COQUITLAM ST,-122.912003,2015
BURNABY,0 ,1 ,49.263933,ASH GROVE CRES & FOREST GROVE DR,-122.914268,2015
BURNABY,0 ,1 ,49.273418,AUBREY ST & FELL AVE,-122.975621,2015
BURNABY,0 ,1 ,49.267968,AUGUSTA AVE & HALIFAX ST,-122.950803,2015
BURNABY,38,1 ,49.249062,AUSTIN AVE & AUSTIN RD & NORTH RD,-122.89284,2015
BURNABY,7,1 ,49.248952,AUSTIN RD & GATINEAU PL,-122.89586,2015
BURNABY,45,1 ,49.248571,AUSTIN RD & GOVERNMENT ST & LOUGHEED HWY,-122.897569,2015
BURNABY,0 ,1 ,49.249054,AUSTIN RD & LOUGHEED MALL LOOP,-122.894321,2015
BURNABY,0 ,1 ,49.248337,AVALON AVE & CARIBOO RD,-122.91422,2015
BURNABY,0 ,1 ,49.25241,AVONDALE ST & BOUNDARY RD,-123.023512,2015
BURNABY,0 ,1 ,49.252398,AVONDALE ST & SMITH AVE,-123.019801,2015
BURNABY,3,1 ,49.261334,BAINBRIDGE AVE & BROADWAY,-122.955951,2015
BURNABY,0 ,1 ,49.256215,BAINBRIDGE AVE & GREENWOOD ST,-122.955999,2015
BURNABY,8,1 ,49.258691,BAINBRIDGE AVE & LOUGHEED HWY,-122.955968,2015
BURNABY,3,1 ,49.2202,BALMORAL ST & GRIFFITHS AVE,-122.960995,2015
BURNABY,0 ,1 ,49.220215,BALMORAL ST & SPERLING AVE,-122.964759,2015
BURNABY,4,1 ,49.236932,BARKER AVE & BARKER CRES & BURKE ST,-123.011065,2015
BURNABY,0 ,1 ,49.232874,BARKER AVE & GRANGE ST,-123.011077,2015
BURNABY,0 ,1 ,49.230678,BARKER AVE & JAMES ST & OLIVE AVE,-123.011047,2015
BURNABY,3,1 ,49.23234,BARKER AVE & KINGSWAY,-123.011375,2015
BURNABY,3,1 ,49.242956,BARKER AVE & MOSCROP ST,-123.011133,2015
BURNABY,0 ,1 ,49.24295,BARKER CRES & MOSCROP ST,-123.00498,2015
BURNABY,0 ,1 ,49.288707,BARNET HWY & INLET DR,-122.947419,2015
BURNABY,2,1 ,49.289762,BARNET HWY & KASK BROS & VELODROME,-122.941024,2015
BURNABY,2,1 ,49.290195,BARNET HWY & TEXACO DR,-122.931816,2015
BURNABY,0 ,1 ,49.283273,BARNET RD & DUTHIE AVE & RIDGE DR,-122.953567,2015
BURNABY,2,1 ,49.280397,BARNET RD & HASTINGS ST,-122.956702,2015
BURNABY,2,1 ,49.253457,BARTLETT CRT & CAMERON ST,-122.898631,2015
BURNABY,3,1 ,49.255187,BEAVERBROOK CRES & EASTLAKE DR,-122.90977,2015
BURNABY,3,1 ,49.25363,BEAVERBROOK DR & CAMERON ST,-122.902323,2015
BURNABY,2,1 ,49.255098,BEAVERBROOK DR & NOEL DR,-122.903787,2015
BURNABY,0 ,1 ,49.253491,BELL AVE & CAMERON ST & NOEL DR,-122.904601,2015
BURNABY,7,1 ,49.251219,BELL AVE & LOUGHEED HWY,-122.904293,2015
BURNABY,0 ,1 ,49.252616,BELL AVE & SALISH CRT,-122.904289,2015
BURNABY,6,1 ,49.225181,BENNETT ST & NELSON AVE,-122.994212,2015
BURNABY,2,1 ,49.217151,BERESFORD ST & GILLEY AVE,-122.972072,2015
BURNABY,0 ,1 ,49.217179,BERESFORD ST & GRIFFITHS DR,-122.960933,2015
BURNABY,5,1 ,49.219131,BERESFORD ST & MACPHERSON AVE,-122.98293,2015
BURNABY,3,1 ,49.229245,BERESFORD ST & PATTERSON AVE,-123.012652,2015
BURNABY,2,1 ,49.219876,BERESFORD ST & ROYAL OAK AVE,-122.988596,2015
BURNABY,0 ,1 ,49.225213,BERESFORD ST & TELFORD AVE,-123.00338,2015
BURNABY,4,1 ,49.227281,BERESFORD ST & WILLINGDON AVE,-123.007925,2015
BURNABY,0 ,1 ,49.230106,BERKLEY ST & CANADA WAY,-122.948262,2015
BURNABY,0 ,1 ,49.2295,BERKLEY ST & MORLEY DR,-122.950654,2015
BURNABY,5,1 ,49.254648,BETA AVE & CANADA WAY & CAREY AVE,-122.998029,2015
BURNABY,8,1 ,49.280984,BETA AVE & HASTINGS ST,-122.997474,2015
BURNABY,10,1 ,49.266252,BETA AVE & LOUGHEED HWY,-122.997628,2015
BURNABY,0 ,1 ,49.199122,BILL FOX WAY & BYRNE RD,-122.98716,2015
BURNABY,0 ,1 ,49.235531,BOND ST & PATTERSON AVE,-123.013499,2015
