City,City,Crash Type,Latitude,Location Flag,Location,Longitude,Number of Records,Year
VANCOUVER,2,PDO,49.265199,Intersection,E 6TH AVE & KEITH DR,-123.079402,1,2014
VANCOUVER,7,PDO,49.265503,Intersection,E 6TH AVE & MAIN ST,-123.100769,1,2014
VANCOUVER,2,PDO,49.265564,Intersection,E 6TH AVE & ONTARIO ST & W 6TH AVE,-123.104788,1,2014
VANCOUVER,2,PDO,49.265531,Intersection,E 6TH AVE & QUEBEC ST,-123.10286,1,2014
VANCOUVER,1,PDO,49.264705,Intersection,E 6TH AVE & RUPERT ST,-123.033749,1,2014
VANCOUVER,1,PDO,49.265464,Intersection,E 6TH AVE & SCOTIA ST,-123.098855,1,2014
VANCOUVER,2,PDO,49.265025,Intersection,E 6TH AVE & SEMLIN DR,-123.063925,1,2014
VANCOUVER,1,PDO,49.264332,Intersection,E 7TH AVE & FRASER ST,-123.08908,1,2014
VANCOUVER,1,PDO,49.264269,Intersection,E 7TH AVE & GLEN DR,-123.081324,1,2014
VANCOUVER,60,PDO,49.264471,Intersection,E 7TH AVE & KINGSWAY & MAIN ST,-123.100924,1,2014
VANCOUVER,2,PDO,49.264674,Intersection,E 7TH AVE & ONTARIO ST & W 7TH AVE,-123.10482,1,2014
VANCOUVER,4,PDO,49.264635,Intersection,E 7TH AVE & QUEBEC ST,-123.102895,1,2014
VANCOUVER,1,PDO,49.264561,Intersection,E 7TH AVE & SCOTIA ST,-123.098898,1,2014
VANCOUVER,2,PDO,49.26415,Intersection,E 7TH AVE & VICTORIA DR,-123.065867,1,2014
VANCOUVER,1,PDO,49.26383,Intersection,E 7TH AVE & WINDERMERE ST,-123.036507,1,2014
VANCOUVER,3,PDO,49.263683,Intersection,E 8TH AVE & KINGSWAY,-123.100121,1,2014
VANCOUVER,1,PDO,49.263698,Intersection,E 8TH AVE & MAIN ST,-123.101026,1,2014
VANCOUVER,1,PDO,49.263312,Intersection,E 8TH AVE & MCLEAN DR,-123.075573,1,2014
VANCOUVER,1,PDO,49.263065,Intersection,E 8TH AVE & NANAIMO ST,-123.056571,1,2014
